response,rt,difficulty,subj_idx
1.0,1.929,easy,0
1.0,1.709,easy,0
0.0,0.917999999998,easy,0
1.0,0.559000000002,easy,0
1.0,1.132,easy,0
1.0,0.815000000002,easy,0
1.0,0.737000000002,easy,0
1.0,0.794000000002,easy,0
1.0,0.661000000002,easy,0
1.0,0.733000000002,easy,0
1.0,1.005,easy,0
1.0,0.836000000002,easy,0
0.0,0.612999999998,easy,0
1.0,1.325,easy,0
1.0,0.681000000002,easy,0
1.0,1.18,hard,0
1.0,2.631,hard,0
1.0,1.547,hard,0
1.0,1.561,hard,0
1.0,1.121,hard,0
1.0,1.462,hard,0
1.0,0.618000000002,hard,0
1.0,0.710000000002,hard,0
0.0,1.209,hard,0
1.0,0.486000000002,hard,0
1.0,0.830000000002,hard,0
1.0,0.822000000002,hard,0
1.0,1.606,hard,0
1.0,0.637000000002,hard,0
1.0,0.758000000002,hard,0
