,subj_idx,response,split_by,rt,trial,feedback,samp
0,0,1.0,0,3.478440284729004,1,1.0,1
1,0,1.0,0,5.334336280822754,2,1.0,1
2,0,1.0,0,5.045356750488281,3,1.0,1
3,0,1.0,0,5.815301418304443,4,1.0,1
4,0,1.0,0,2.8504109382629395,5,1.0,1
5,0,0.0,0,2.4374091625213623,6,0.0,1
6,0,1.0,0,2.9324145317077637,7,0.0,1
7,0,0.0,0,4.460399627685547,8,0.0,1
8,0,1.0,0,3.0504202842712402,9,0.0,1
9,0,1.0,0,3.875441789627075,10,0.0,1
10,0,1.0,0,3.1124229431152344,11,1.0,1
11,0,1.0,0,3.0864219665527344,12,1.0,1
12,0,1.0,0,2.991417407989502,13,1.0,1
13,0,1.0,0,2.9174139499664307,14,1.0,1
14,0,1.0,0,3.454439163208008,15,1.0,1
15,0,1.0,0,3.926438093185425,16,0.0,1
16,0,1.0,0,2.552407741546631,17,0.0,1
17,0,1.0,0,5.622315406799316,18,0.0,1
18,0,0.0,0,2.07141375541687,19,0.0,1
19,0,0.0,0,3.920438528060913,20,0.0,1
20,0,0.0,0,2.8354101181030273,21,1.0,1
21,0,0.0,0,3.1994271278381348,22,0.0,1
22,0,1.0,0,2.980416774749756,23,1.0,1
23,0,1.0,0,4.453399658203125,24,1.0,1
24,0,1.0,0,2.2474117279052734,25,0.0,1
25,0,0.0,0,4.326409339904785,26,0.0,1
26,0,1.0,0,4.375405311584473,27,1.0,1
27,0,1.0,0,4.158421516418457,28,1.0,1
28,0,1.0,0,2.947415351867676,29,1.0,1
29,0,1.0,0,2.4844086170196533,30,1.0,1
30,0,1.0,0,3.6674489974975586,31,1.0,1
31,0,1.0,0,4.174420356750488,32,0.0,1
32,0,1.0,0,4.296411514282227,33,1.0,1
33,0,1.0,0,2.995417594909668,34,1.0,1
34,0,1.0,0,2.736405372619629,35,1.0,1
35,0,1.0,0,2.1114132404327393,36,0.0,1
36,0,1.0,0,4.742379188537598,37,1.0,1
37,0,1.0,0,2.742405891418457,38,1.0,1
38,0,1.0,0,2.4794087409973145,39,1.0,1
39,0,1.0,0,2.99041748046875,40,1.0,1
40,0,1.0,0,2.999417781829834,41,1.0,1
41,0,1.0,0,3.791447877883911,42,1.0,1
42,0,1.0,0,3.498441219329834,43,1.0,1
43,0,1.0,0,2.5684075355529785,44,1.0,1
44,0,1.0,0,2.5194082260131836,45,1.0,1
45,0,1.0,0,3.730452060699463,46,1.0,1
46,0,1.0,0,3.302432060241699,47,1.0,1
47,0,1.0,0,2.949415445327759,48,1.0,1
48,0,1.0,0,2.681406021118164,49,1.0,1
49,0,1.0,0,3.4564390182495117,50,1.0,1
50,0,1.0,0,2.4814085960388184,51,1.0,1
51,0,1.0,0,2.3354105949401855,52,1.0,1
52,0,1.0,0,4.516395568847656,53,1.0,1
53,0,1.0,0,2.552407741546631,54,1.0,1
54,0,1.0,0,3.290431499481201,55,1.0,1
55,0,1.0,0,3.224428176879883,56,1.0,1
56,0,1.0,0,5.665311813354492,57,1.0,1
57,0,1.0,0,2.684406042098999,58,1.0,1
58,0,1.0,0,3.561444044113159,59,0.0,1
59,0,1.0,0,4.090426445007324,60,1.0,1
60,0,1.0,0,2.678406000137329,61,1.0,1
61,0,1.0,0,2.4354090690612793,62,1.0,1
62,0,1.0,0,2.1044135093688965,63,0.0,1
63,0,1.0,0,5.846299171447754,64,1.0,1
64,0,0.0,0,2.1024134159088135,65,0.0,1
65,0,1.0,0,2.743405818939209,66,1.0,1
66,0,1.0,0,2.495408535003662,67,1.0,1
67,0,1.0,0,2.5664074420928955,68,1.0,1
68,0,1.0,0,2.8374102115631104,69,1.0,1
69,0,1.0,0,2.5114083290100098,70,1.0,1
70,0,1.0,0,3.1884264945983887,71,0.0,1
71,0,1.0,0,2.978416919708252,72,1.0,1
72,0,1.0,0,3.261430025100708,73,1.0,1
73,0,1.0,0,3.0924220085144043,74,1.0,1
74,0,1.0,0,3.4394383430480957,75,1.0,1
75,0,1.0,0,3.020418643951416,76,0.0,1
76,0,1.0,0,2.759406566619873,77,1.0,1
77,0,1.0,0,3.471439838409424,78,1.0,1
78,0,1.0,0,3.6084461212158203,79,0.0,1
79,0,1.0,0,3.227428436279297,80,1.0,1
