response,rt,feedback,subj_idx,split_by,trial,neural_reg,q_init
1.0,1.923513650894165,1.0,0,0,1,0.8806252322867403,0.5
1.0,1.8815141916275024,1.0,0,0,2,-0.4227142918950317,0.5
1.0,2.20950984954834,1.0,0,0,3,1.1363560150253644,0.5
0.0,1.5875155925750732,0.0,0,0,4,-1.5090134014244383,0.5
1.0,1.63951575756073,1.0,0,0,5,-2.0702395950775982,0.5
0.0,1.9605131149291992,1.0,0,0,6,-0.03535987884557411,0.5
0.0,1.8865140676498413,0.0,0,0,7,0.1505041096740136,0.5
0.0,1.6205157041549683,0.0,0,0,8,-1.7403565368005545,0.5
1.0,2.016512393951416,1.0,0,0,9,0.7227502718233958,0.5
1.0,1.8235149383544922,1.0,0,0,10,0.8403899344929011,0.5
1.0,1.9415134191513062,0.0,0,0,11,0.4929888996592499,0.5
1.0,1.7215158939361572,1.0,0,0,12,-1.164913880547118,0.5
0.0,1.8085150718688965,0.0,0,0,13,-1.2739063258116676,0.5
1.0,1.9385133981704712,1.0,0,0,14,0.974575866979482,0.5
1.0,1.5455156564712524,1.0,0,0,15,-2.3326865867346775,0.5
1.0,2.0485119819641113,0.0,0,0,16,1.9750032658318037,0.5
1.0,1.9885127544403076,1.0,0,0,17,0.09429068995350601,0.5
1.0,1.9165136814117432,1.0,0,0,18,-0.39218766017727735,0.5
0.0,1.8215149641036987,0.0,0,0,19,0.6838122502495222,0.5
1.0,1.8395147323608398,1.0,0,0,20,-0.5807584486831222,0.5
1.0,1.8605144023895264,0.0,0,0,21,-0.3069677644535929,0.5
1.0,2.026512384414673,1.0,0,0,22,0.9891070967652502,0.5
1.0,1.6885159015655518,1.0,0,0,23,-0.28547464982374865,0.5
1.0,1.8205149173736572,1.0,0,0,24,0.12302827389321727,0.5
1.0,1.667515754699707,1.0,0,0,25,-0.8695777045572671,0.5
1.0,2.0385122299194336,1.0,0,0,26,1.1913449189087737,0.5
1.0,1.8005151748657227,1.0,0,0,27,-1.030936099053084,0.5
1.0,2.256509304046631,0.0,0,0,28,2.1551940262139135,0.5
0.0,1.9215136766433716,0.0,0,0,29,-0.11944137173738976,0.5
0.0,1.9445133209228516,1.0,0,0,30,-0.48307146599832423,0.5
0.0,1.7695156335830688,1.0,0,0,31,-0.07909046781971232,0.5
0.0,1.923513650894165,0.0,0,0,32,0.20899189834236087,0.5
